"DVSN","STTN FROM","STTN TO","RR NO.","RR DATE","FNR","P/T","INVC NO.","INVC DATE","CMDT","CNSR","CNSR GSTIN","CNSG","CNSG GSTIN","RLY GSTIN","TAX INVCID","FREIGHT PAID BY","ADVANCE FREIGHT SCHEME","ROUND TRIP TRAFFIC","CHRG WGHT","ACTL WGHT","CHRG CLSS","RATE(Q)","BSC FRGT","POL","TOTL FRGT(EXCLUDE GST)","IGST","CGST","SGST","UGST","TOTL GST","TDS IGST","TDS CGST","TDS SGST","TDS UGST","TOTL TDS","TDS REGISTRATION NO.","TOTL FRGT(INCLUDE GST)","DMRG","P/M","OTHR CHRG CODE","OTHR CHRG AMNT","REBATE CODE","REBATE AMNT","E-PAYID"
"ASN","BLSG","DSEY","262003700","27-04-2026","26042602602","P","1","26-04-2026","1421968","SAIL","23AAACS7062F1ZM","SAIL","19AAACS7062F6Z6","23AAAGM0289C1ZR","9926042370140105","CNSR","N","N","4147.9","4137.8","145","1259.3","5223450.47","0","6431934","0","160798.35","160798.35","0","321597","","","","","","","6753531","","E","DCLA","26550","","","SB00D9438B"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","783538.31","","","SB00D9438B"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","300349.44","","","SB00D9438B"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ENHC","30880","","","SB00D9438B"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","67165","","","SB00D9438B"
"ASN","BRMS","DSEY","262000678","11-04-2026","26033027076","P","2","10-04-2026","1421312","BSLC","21AABCT2118C1Z7","SAIL","19AAACS7062F6Z6","19AAAGM0289C1ZG","9926042154140440","CNSG","N","N","2685.7","2671.7","145","585.8","1573283.06","0","2041528","102076.4","0","0","0","102077","","","","","","","2143605","","E","DCLA","6150","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DPO","235992.46","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","90454.38","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POLA","13331.74","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SD","122316","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SB00D8D338"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SB00D8D338"
"ASN","BSCS","DSEY","262250926","25-04-2026","26042321558","P","1","24-04-2026","3443223","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122314","CNSR","N","N","65.1","59.3","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","141660","E","DPO","3029.1","","","SB00D932B2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932B2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932B2"
"ASN","BSCS","DSEY","262250935","25-04-2026","26042321646","P","10","24-04-2026","3443223","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122323","CNSR","N","N","65.1","61.9","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932C2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932C2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932C2"
"ASN","BSCS","DSEY","262250936","25-04-2026","26042321655","P","11","24-04-2026","3312746","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122324","CNSR","N","N","65.1","62","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932C3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932C3"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932C3"
"ASN","BSCS","DSEY","262250937","25-04-2026","26042321664","P","12","24-04-2026","3312335","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122325","CNSR","N","N","65.1","54","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932C5"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932C5"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932C5"
"ASN","BSCS","DSEY","262250938","25-04-2026","26042321673","P","13","24-04-2026","3312335","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122326","CNSR","N","N","65.1","50.5","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932C6"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932C6"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932C6"
"ASN","BSCS","DSEY","262250939","25-04-2026","26042321682","P","14","24-04-2026","3312335","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122327","CNSR","N","N","65.1","53.2","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932C8"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932C8"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932C8"
"ASN","BSCS","DSEY","262250940","25-04-2026","26042321691","P","15","24-04-2026","3312335","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926042053122328","CNSR","N","N","65.1","57","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D932CA"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D932CA"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D932CA"
"ASN","BSCS","DSEY","262251521","02-05-2026","26043015195","P","16","02-05-2026","3312746","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926052053120041","CNSR","N","N","65.1","63.4","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","62775","E","DPO","3029.1","","","SB00D96874"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D96874"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D96874"
"ASN","BSCS","DSEY","262251522","02-05-2026","26043015201","P","17","02-05-2026","3312746","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926052053120042","CNSR","N","N","65.1","61.7","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D96877"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D96877"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D96877"
"ASN","BSCS","DSEY","262251523","02-05-2026","26043015210","P","18","02-05-2026","3312746","SAIL","20AAACS7062FAZJ","SAIL","19AAACS7062F6Z6","20AAAGM0289C1ZX","9926052053120043","CNSR","N","N","65.1","63.8","165","310.2","20194.02","0","25445","0","636.13","636.13","0","1273","","","","","","","26718","","E","DPO","3029.1","","","SB00D9687A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DS","1211.51","","","SB00D9687A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TPRO","1009.7","","","SB00D9687A"
